NNP,VBP,TO,VB
NNP,VB,VBP,TO
NNP,NN
NNP,NN
NNP,VBZ,VBG
NNP,VBG,VBZ
NNP,VBZ,VBG,TO,VB
NNP,VB,VBG,VBZ
NNS,VBP,NN
NNS,NN,VBP


